CPUUtilization,DiskReadOps,DiskWriteOps,DiskReadBytes,DiskWriteBytes,NetworkIn,NetworkOut,NetworkPacketsIn,NetworkPacketsOut,anomaly
30.026485286825576,18.830539814644393,56.75098583204397,1013689.404676782,916156.4404951235,548254.8750269416,442210.3088867974,216.95214204316943,319.9467078015574,0
27.753965924429313,73.4379800948811,39.47093814554698,1058725.799510465,845640.1005055181,307097.93641721806,528262.1182682109,303.9516567779221,263.74274386076166,0
34.776954680180395,59.78114136370837,40.42894784467156,614843.00717867,1063111.2613992942,314034.5318393138,394855.0290745604,303.2585998270242,275.3039586560679,0
44.424083228133284,16.394706739248967,62.485864911920864,729347.3304900138,989502.7234600466,494777.62019586534,524924.0583961032,256.92209405845347,253.41144236169362,0
32.71279161051553,48.61535291556866,47.59852142558598,1270723.5563375666,1087258.7460556047,573928.1460810117,697980.8436050087,378.70917646289286,287.17502288640395,0
41.36871929024379,77.9159559591339,33.61469726119472,879543.8826485041,929677.0656013618,508822.3967789121,492867.64341776934,289.6424525927952,300.7596410115921,0
40.43453332748521,38.4087593533441,62.03277895784136,1416260.9334164392,1140163.744701657,509934.1222627096,488505.72191550286,358.0595114675345,356.6560735566091,1
36.77774210708838,69.97980372652208,69.52889345718572,1244308.6398483855,1163115.6441858788,529829.9748018114,419847.36912642163,318.5829052829773,392.9990117408881,0
20.48009904383962,68.91129334253779,68.00049049437351,802358.4797687517,1185315.6277426146,507347.2112750619,574904.1598987802,269.0596800661292,325.26918499867986,0
46.94831270354217,64.75874450961086,45.020201320236815,935368.9218756015,1133238.8913190577,576278.1019621721,683649.2132957214,286.7228618624955,275.46992781119235,0
40.13262912541837,33.76197352667551,61.238014954384745,1028101.3146403879,973619.5636966177,567635.6945180397,478442.3478891689,309.41593014077904,299.92277093369705,0
47.34366380262443,21.51720626477209,63.942022431132656,680711.357600285,1106890.2535421257,493372.0543595367,553627.3022093067,359.2731615404305,291.6097085750924,0
34.4993967204242,47.39179605395827,63.02557737534422,435022.4488627628,991113.1692216813,409979.5316072011,631182.5134118679,299.7162184035431,345.96729601714844,0
43.89842863103079,25.923995005627766,76.5588784658185,800122.556917571,914503.0688920968,375227.33753076184,413061.6950505959,321.30622709404724,268.3395746145894,0
47.147908468385566,48.94875295542297,44.80634709114521,940359.2041581881,1036528.8198762679,528338.2319472297,624828.1088172336,303.7123458973373,267.5611489421658,0
37.30321838373065,66.51736863149611,61.39610792765279,1381833.8706153554,930656.2648077887,490278.05536123214,301852.64837221906,201.83275285703843,287.13630062989193,0
49.95517786022158,52.59946467472902,70.26510563008422,913388.1412105145,841418.9275744838,384150.0175436712,562355.0720382466,231.85676895739897,224.89506885994444,0
24.87366681013696,55.110358566700896,63.107334539404704,965006.7866329637,748784.5059679731,335045.6760237044,486285.01247063663,247.29712046705959,287.1771479646809,0
37.53999142131676,68.3809914424439,64.36961929278097,1073769.4872739203,803381.3886729539,640633.0844008374,375448.6183247258,302.81256535627193,279.99551395927665,0
44.36233104378299,51.47384931279713,63.82492923718176,895935.8070177989,1135234.486041072,489374.4544665534,520498.0623069176,370.3286273679559,382.4946000000737,0
35.59211992752339,70.83619107570584,21.20845531509965,784674.1583285767,882453.6422932128,520924.6339041972,560233.4505234049,277.1530858542607,296.94182295174,0
45.35306368284188,56.04584067479358,60.19107763320418,979331.2639887502,687234.1218259259,422948.38426760316,431020.8981092815,261.0286856119345,371.50371781998933,0
41.34891129455623,49.041935306399154,54.701198361132754,1189764.6817346308,1136427.698022439,536619.5543946308,582168.587440402,255.70733711792784,349.58339214523994,0
27.17815005911256,65.56843539700331,67.72644909945984,872894.840562565,1334604.2172798307,512244.7132149985,338455.09500781004,226.34719057580898,291.11773073216773,0
50.948214290395484,70.19736390690801,42.99115405650858,1153662.1255254776,892269.8040481072,377170.4720992544,327826.26815956354,292.45743851827723,330.2358245712425,0
44.006265252092845,59.189444157647884,37.389205290343014,903462.2949216425,967497.5537205832,501731.7654846232,548518.9440706159,257.1718519684535,287.0796258569686,0
50.09651556742098,37.826490725598696,43.54659273689407,917853.5069800334,1092821.2533942943,540443.6700486921,438575.0613656305,255.98709252278755,299.29049782408856,0
24.781515774886245,27.36690164176411,34.51945128895396,965334.7560607867,1355149.258470043,443238.15396950353,678196.1602820898,261.0449839084936,289.55043662238995,0
27.47996145368547,75.55533961219291,60.96138835641548,1111085.3355168868,869137.8535133186,616259.7963865993,652846.7499343925,368.6524735025432,295.5826369205214,0
40.656342096648245,73.54790509026682,72.57638938051409,855975.1541033823,956664.4057701072,487052.94930583757,630548.6477833083,313.540968773831,295.7255356311374,0
40.53334327690458,53.18255159203808,22.939683591318083,1060631.212971156,1046910.7979395144,406553.6209622752,576689.2608150664,211.87807071665966,344.3862558072164,0
49.276454069881325,60.87509150966584,49.10014895432513,797449.1106364146,1380880.2522926494,443941.05988054234,550918.7382625788,341.12601381871974,305.66977083689187,0
46.01010697869162,72.36034912839432,39.36128898843624,774638.62240228,841708.5363718739,558561.4718123698,491095.1441681824,313.3515461082266,365.63077938380195,0
37.96828238095492,78.36550157053424,34.29870274419797,1304339.8115911318,949066.702706093,347994.0674840893,387527.3306155738,326.01660716064237,334.8103322010006,0
34.491991190605404,72.45021904321221,68.94647491960829,884096.6250749074,1062020.8988701873,443278.3224005281,544888.8846865441,215.16070637875654,304.0941405551499,0
39.72689625348869,84.82526236888569,51.241663058649955,894847.1295995803,1178857.1107681484,299800.7534047613,380716.0111402902,406.3416824989838,283.8222038434677,1
43.79603361063342,56.58251772786145,54.937860643397684,1153449.7985453303,928585.6472784546,558288.1872201086,459217.0886175255,352.51226228539923,320.7513207911004,0
34.6452426400011,61.61047876737036,53.6004375986867,955020.841549004,1125413.2243432738,346396.26298220863,341048.1472595114,262.12552860487835,316.4659274754515,0
